Country,Last,Previous,Reference
Afghanistan ,14.48,14.28,22-Dec
Azerbaijan ,13.84,13.9,22-Dec
Bahrain ,28.84,29.18,22-Dec
Iran ,19.3,19.57,22-Dec
Iraq ,23.81,24.21,22-Dec
Israel ,20.23,20.86,22-Dec
Japan ,12.42,12.45,22-Dec
Jordan ,19.77,20.36,22-Dec
Kazakhstan ,8.06,7.83,22-Dec
Kuwait ,27.58,27.89,22-Dec
Lebanon ,15.66,16.2,22-Dec
Oman ,27.94,28.1,22-Dec
Palestine ,19.7,20.34,22-Dec
Qatar ,29.11,29.42,22-Dec
Saudi Arabia ,26.46,26.8,22-Dec
Syria ,19.17,19.67,22-Dec
Tajikistan ,5.09,4.61,22-Dec
Turkmenistan ,17.66,17.69,22-Dec
United Arab Emirates ,28.93,29.09,22-Dec
Uzbekistan ,14.86,14.76,22-Dec
Yemen ,25.51,25.64,22-Dec
